epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,405.807,1.20448,1.0001,1.10764,0.92886,0.87781,0.94405,0.57356,1.28018,0.77106,1.10386,0.000665805,0.000665805,0.000665805
2,794.407,1.12929,0.70956,1.07864,0.90376,0.83091,0.91332,0.57902,1.21794,0.82266,1.12116,0.00120056,0.00120056,0.00120056
3,1180.48,1.08356,0.65011,1.06371,0.88729,0.81593,0.90554,0.57214,1.30075,0.79487,1.11822,0.00160331,0.00160331,0.00160331
4,1571.04,1.04264,0.60193,1.04334,0.91727,0.90506,0.9489,0.63159,1.15991,0.64498,1.09666,0.001406,0.001406,0.001406
5,1957.66,0.98482,0.55262,1.0178,0.93624,0.89154,0.94984,0.64366,1.17907,0.59712,1.06553,0.001208,0.001208,0.001208
6,2347.09,0.95038,0.52319,1.0034,0.94533,0.90154,0.95672,0.64303,1.2221,0.58163,1.07038,0.00101,0.00101,0.00101
7,2729.43,0.91516,0.49721,0.98648,0.94651,0.91238,0.9652,0.64552,1.20845,0.56734,1.0734,0.000812,0.000812,0.000812
8,3112.49,0.903,0.48063,0.9806,0.94857,0.90707,0.96628,0.63551,1.26939,0.57894,1.0672,0.000614,0.000614,0.000614
9,3494.46,0.87949,0.46413,0.96915,0.9551,0.91915,0.97096,0.67597,1.13357,0.53408,1.04037,0.000416,0.000416,0.000416
10,3877.61,0.87175,0.44776,0.96165,0.94488,0.91026,0.9642,0.70162,1.04233,0.52041,1.02086,0.000218,0.000218,0.000218
